OBJECTID,vmoTipusKod,Torzsszam,vmoNev,Rendszam,VMOEov_EOVx,VMOEov_EOVy,vFkAllomas_AdatgazdaNev,vFkAllomas_Nevr,vFkAllomas_Leiras,vFkAllomas_TalajvizkutTelepulesNev,vFkAllomas_KapcsSzkmNev,vFkAllomas_AllomasTavmBemenetNev,vFkAllomas_AllomasTVA,vFkAllomas_TalajvizkutKatSzam,vFkAllomas_TalajvizkutJelzoszam,vFkAllomas_FkAllAdatforgTipNev,vFkAllomas_TalajvizkutVizminVanE,vFkAllomas_TalajvizkutTipuskodNev,vFkAllomas_TalajvizkutTerepmag,vFkAllomas_TalajvizkutKutperemmag,vFkAllomas_TalajvizkutKutmelyseg,vFkAllomas_TalajvizjutGyorsadat,vFkAllomas_FkAllVKImon,vFkAllomas_FkAllUzemelesNev
96,12,110229,Rajka,ABX129,295892.81,513525.33,ÉDUVIZIG,-,-,Rajka,Szigetközi szakaszmérnökség,nincs távmérő,0,-,ISZF I/1,észlelt,1,üzemi állomás,126.49,127.41,2010,0,1,üzemel
97,12,110819,Ács,AAW225,266700.27,564452.41,ÉDUVIZIG,-,-,Ács,Tatai szakaszmérnökség,nincs távmérő,0,-,96081,regisztrált,0,üzemi állomás,117.44,118.66,5000,0,0,üzemel
98,12,110602,Gönyű,ABJ762,265874.33,558623.81,ÉDUVIZIG,-,Elődállomása 110817 Gönyű,Gönyű,Rábai szakaszmérnökség,nincs távmérő,0,-,96021,regisztrált,0,üzemi állomás,115.7,116.657,1500,0,0,üzemel
99,12,110227,Dunakiliti,ACA997,293692,518037,ÉDUVIZIG,-,-,Dunakiliti,Szigetközi szakaszmérnökség,nincs távmérő,0,-,4189/a1/K-10/,észlelt,1,üzemi állomás,125.47,126.47,8460,0,1,üzemel
100,12,110742,Rajka,ACA927,296985.76,512411.09,ÉDUVIZIG,-,-,Rajka,Szigetközi szakaszmérnökség,nincs távmérő,0,-,9530-1,észlelt,1,üzemi állomás,127.89,128.58,9970,0,1,üzemel
101,12,110824,Ács,AAW222,265731.37,571853.17,ÉDUVIZIG,-,-,Ács,Tatai szakaszmérnökség,nincs távmérő,0,-,96161,regisztrált,0,üzemi állomás,121.97,122.39,1600,0,0,üzemel
102,12,111505,Hegyeshalom,AIL637,291116.66,505101.08,ÉDUVIZIG,-,-,Hegyeshalom,Szigetközi szakaszmérnökség,nincs távmérő,0,-,1. sz. Lajta,regisztrált,0,üzemi állomás,127.889,128.548,0,0,0,üzemel
103,12,110639,Dunakiliti,ACA619,292151,518150,ÉDUVIZIG,-,-,Dunakiliti,Szigetközi szakaszmérnökség,nincs távmérő,0,-,9381,észlelt,0,üzemi állomás,125.11,125.94,1500,0,0,üzemel
104,12,110620,Dunakiliti,ACA242,294975.1,516119.27,ÉDUVIZIG,-,-,Dunakiliti,Szigetközi szakaszmérnökség,nincs távmérő,0,-,9329,regisztrált,0,üzemi állomás,127.13,127.44,1260,0,0,üzemel
105,12,110600,Gönyű,ABZ228,266720.81,557345.18,ÉDUVIZIG,-,-,Gönyű,Rábai szakaszmérnökség,nincs távmérő,0,-,9574,regisztrált,0,üzemi állomás,111.4,112.85,700,0,0,üzemel
106,12,6155,Nagyszentjános,AIW024,263143.62,561772.7,ÉDUVIZIG,-,-,Nagyszentjános,Tatai szakaszmérnökség,"csak ""tárolt"" adatok (reg) átadása",1,-,-,távmért,0,törzsállomás,118.73,119.46,728,0,0,üzemel
107,12,110228,Dunakiliti,ACA998,293702,518039,ÉDUVIZIG,-,-,Dunakiliti,Szigetközi szakaszmérnökség,nincs távmérő,0,-,4189/a2 /K-11/,észlelt,1,üzemi állomás,125.43,126.28,4000,0,1,üzemel
108,12,111484,Nagyszentjános,AIK800,265859,561382,ÉDUVIZIG,-,-,Nagyszentjános,Tatai szakaszmérnökség,nincs távmérő,0,-,96071,regisztrált,0,üzemi állomás,117.54,117.576,4775,0,0,üzemel
109,12,111486,Ács,AIK798,266845.1,569251.84,ÉDUVIZIG,-,-,Ács,Tatai szakaszmérnökség,nincs távmérő,0,-,96123,regisztrált,0,üzemi állomás,119.19,120.26,1380,0,0,üzemel
110,12,110826,Komárom-Ács,AAW226,268350,574215,ÉDUVIZIG,-,-,Komárom,Tatai szakaszmérnökség,nincs távmérő,0,-,96191/b,regisztrált,0,üzemi állomás,109.41,115.574,1040,0,0,üzemel
111,12,110788,Máriakálnok,ABC404,280471.37,520871.47,ÉDUVIZIG,-,-,Máriakálnok,Szigetközi szakaszmérnökség,nincs távmérő,0,-,95704,regisztrált,0,üzemi állomás,118.96,119.77,6450,0,1,üzemel
112,12,110751,Mosonmagyaróvár,ACA954,287156.71,518171.87,ÉDUVIZIG,-,-,Mosonmagyaróvár,Szigetközi szakaszmérnökség,nincs távmérő,0,-,9538,regisztrált,0,üzemi állomás,122.59,123.54,1300,0,0,üzemel
113,12,110746,Rajka,ACA931,296985.54,512411.08,ÉDUVIZIG,-,-,Rajka,Szigetközi szakaszmérnökség,nincs távmérő,0,-,9530-5,észlelt,0,üzemi állomás,127.89,128.535,2950,0,0,üzemel
114,12,110791,Máriakálnok,ACA952,280471.37,520871.47,ÉDUVIZIG,-,-,Máriakálnok,Szigetközi szakaszmérnökség,nincs távmérő,0,-,9570-7,regisztrált,0,üzemi állomás,118.96,119.77,0,0,0,üzemel
115,12,110785,Máriakálnok,ABC406,280470.72,520871.57,ÉDUVIZIG,-,-,Máriakálnok,Szigetközi szakaszmérnökség,nincs távmérő,0,-,95701,nincs,1,üzemi állomás,118.96,119.77,9970,0,1,üzemel
116,12,111488,Ács,AIK797,266666.78,566462.98,ÉDUVIZIG,-,-,Ács,Tatai szakaszmérnökség,nincs távmérő,0,-,96132,regisztrált,0,üzemi állomás,117.87,118.77,1737,0,0,üzemel
117,12,110825,Ács,AAW224,265322,570877,ÉDUVIZIG,-,-,Ács,Tatai szakaszmérnökség,nincs távmérő,0,-,96181,regisztrált,1,üzemi állomás,121.1,121.17,1460,0,1,üzemel
